State,Abbreviation,State_Code,State_Tax
ALABAMA,AL,1,1
ALASKA,AK,2,0
ARIZONA,AZ,3,1
ARKANSAS,AR,4,1
CALIFORNIA,CA,5,2
COLORADO,CO,6,1
CONNECTICUT,CT,7,2
DELAWARE,DE,8,2
FLORIDA,FL,9,0
GEORGIA,GA,10,1
HAWAII,HI,11,1
IDAHO,ID,12,1
ILLINOIS,IL,13,0
INDIANA,IN,14,1
IOWA,IA,15,0
KANSAS,KS,16,1
KENTUCKY,KY,17,1
LOUISIANA,LA,18,1
MAINE,ME,19,1
MARYLAND,MD,20,2
MASSACHUSETTS,MA,21,2
MICHIGAN,MI,22,1
MINNESOTA,MN,23,1
MISSISSIPPI,MS,24,1
MISSOURI,MO,25,1
MONTANA,MT,26,1
NEBRASKA,NE,27,1
NEVADA,NV,28,0
NEW HAMPSHIRE,NH,29,1
NEW JERSEY,NJ,30,2
NEW MEXICO,NM,31,1
NEW YORK,NY,32,2
NORTH CAROLINA,NC,33,1
NORTH DAKOTA,ND,34,1
OHIO,OH,35,1
OKLAHOMA,OK,36,1
OREGON,OR,37,1
PENNSYLVANIA,PA,38,1
RHODE ISLAND,RI,39,1
SOUTH CAROLINA,SC,40,1
SOUTH DAKOTA,SD,41,0
TENNESSEE,TN,42,1
TEXAS,TX,43,0
UTAH,UT,44,1
VERMONT,VT,45,1
VIRGINIA,VA,46,2
WASHINGTON,WA,47,0
WEST VIRGINIA,WV,48,1
WISCONSIN,WI,49,1
WYOMING,WY,50,0
DISTRICT OF COLUMBIA,DC,51,2
GUAM,GU,52,3
PUERTO RICO,PR,53,3
VIRGIN ISLANDS,VI,54,3